handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_a6d43211-b756-5d74-80d2-6e5a94ada9a3,Product,MILLESIMATO BRUT VALDOBBIADENE D.O.C.G Magnum,"<p>1,5L flaska af 09 Millesimato freyðivíninu frá Borgo Molino. Þetta er frábært freyðivín, tilvalið fyrir áramótapartýið. Kemur í viðarkassa með handfangi.</p><p>&nbsp;</p><p>09 Millesimato DOCG er það freyðivín sem er almennt álitið besta freyðivínið af okkar viðskiptavinum hér á Íslandi. Þrúgurnar eru týndar í hlíðum Valdobbiadene sem er sennilega frægasti bærinn í Prosecco héraðinu. Vínið er þurrt og ferskt og einstaklega bragðgott. Millesimato er svokallað árgangavín sem þýðir að framleiðandinn hefur fundið árgang sem er einstakur og eru allar þrúgurnar í víninu af þeim árgangi, í þessu tilviki árið 2019.</p>",fa1d60_06e4b465f402466f806b579277b2ac3a~mv2.png,Léttvínspakki frá Borgo Molínu;All collections;Borgo Molino;Procecco;Gjafapakkar;Borgo Molino Prosecco,,Magnum,11990.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>DESCRIPTION: SELECTED GLERA GRAPES GROWN ON THE CRU HILLS OF VALDOBBIADENE, COMBINED WITH THE SLOW BUBBLE-FORMING PROCESS<br>
(“PRESA DI SPUMA”) CREATES A BRUT SPARKLING WINE WITH A BRILLIANT STRAW YELLOW COLOR WITH SOFT GREEN HEWS.<br>
FINE AND DELICATE FRUITY BOUQUET, REMINISCENT OF MEADOW FLOWERS AND A HINT OF APPLE AND PEAR.</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: EXCELLENT AS AN APERITIF, IT IS A PERFECT PARTNER FOR FISH STARTERS AND LIGHT MEALS.</p>
",HIGHLIGHTS,"<p>PRODUCTION AREA: VALDOBBIADENE</p>

<p>GRAPE VARIETY: GLERA</p>

<p>SERVE AT: 6-8 °C.</p>

<p>ALC. 11,5% VOL</p>

<p>ML. 3000</p>
",,,,,,,,,,,,,
product_133001d7-27ef-01e1-b8d6-3177df704588,Product,SERIO Pino Nero,<p>Pino Nero</p>,8d480d_d67824afd29749cf84a6d3302d4a114c~mv2.png;8d480d_89c2f93abfab4378a2778024794694e7~mv2.png,Án Alcohol;VINUCI;All collections,,0% ALC,1990.0,,true,PERCENT,0.0,InStock,0.9,,,,,,,,,,,,,,,,,,,,UM VINUCI,"<p>Vinuci er nýr ítalskur framleiðandi sem framleiðir áfengislaust léttvín úr bestu fáanlegu hráefnum. Vínin frá&nbsp;Vinuci eru framleidd með nýrri tækni þar sem áfengið er látið gufa upp úr víninu undir lofttæmi. Með þessari nýju tækni tekst að halda ná áfenginu úr víninu án þess að hafa áhrif á bragðgæði.</p>
",DESCRIPTION,"<p>TThe VINUCI Pinot Noir ‘Serio’ is the alcohol-free alternative to a glass of wine. The benefits are reduced calories and no headache the day after, making it ideal for drivers and responsible drinkers! A state-of-the-art dealcoholisation process protects the fine bouquet aromas so that the typical, vinous taste is retained in the glass.</p>
",RECOMMENDED,"<p>Ideal with meat and pasta dishes</p>
",HIGHLIGHTS,"<p><strong>Grapes: Pinot Noir</strong></p>

<p>Serve at: 14 - 16 °C</p>

<p>Alc. &lt;0,5% VOL</p>

<p>ml. 750</p>
",,,,,,,,,,,
product_20eac04d-50a0-bec3-6766-df9ab74f6232,Product,Nero Cabernet Sauvignon,<p>Cabernet Sauvignon</p>,8d480d_728d1259731b4405baa5d232d6003ad4~mv2.png;8d480d_dc0cfd113e0d436e9ddf9ecde1fc02a7~mv2.png,Án Alcohol;VINUCI;All collections,,0% ALC,1990.0,,true,PERCENT,0.0,InStock,0.9,,,,,,,,,,,,,,,,,,,,UM VINUCI,"<p>Vinuci er nýr ítalskur framleiðandi sem framleiðir áfengislaust léttvín úr bestu fáanlegu hráefnum. Vínin frá&nbsp;Vinuci eru framleidd með nýrri tækni þar sem áfengið er látið gufa upp úr víninu undir lofttæmi. Með þessari nýju tækni tekst að halda ná áfenginu úr víninu án þess að hafa áhrif á bragðgæði.</p>
",DESCRIPTION,"<p>The NERO, Cabernet Sauvignon decalized is the ideal pairing for a pizza with anchovies and black olives.<br>
The salinity of the anchovies and the intense flavor of black olives are enhanced by the fruity and spicy notes of the wine, creating a perfect balance between salty and fruity.<br>
A rich and determined combination, which offers a full and enveloping taste experience, without the alcohol but with all the character.</p>
",RECOMMENDED,"<p>The NERO, Cabernet Sauvignon decalized is the ideal pairing for a pizza with anchovies and black olives.</p>
",HIGHLIGHTS,"<p><strong>Grapes: Cabernet Sauvignon</strong></p>

<p>Serve at: 11-16C</p>

<p>Alc. &lt;0,5% VOL</p>

<p>ml. 750</p>
",,,,,,,,,,,
product_5a8638fa-4864-4ebc-773b-04103f6f1bc5,Product,Sauvignon Blanc IGT Trevenezie,<p>&nbsp;</p>,81441e_89971022e1854c83b490aa53b4ec1f0a~mv2.png,Léttvínspakki frá Borgo Molínu;All collections;Hvítvín;Borgo Molino;Borgo Molino Hvítvín,,NÝTT,2990.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>COLOR : PALE STRAW YELLOW, WITH GREENISH HIGHLIGHTS.</p>

<p>FRAGRENCE. INTENSE AND COMPLEX AROMA WITH MARKED VEGETAL NOTES, REMINISCENT OF TOMATO LEACES, PEPPERS, SAGE, AVVOMPANIED BY AN INTENSE EXOTIC SCENT.</p>

<p>TASTING NOTE: INTENSE, MINIEAL, ELEGNTLY SAPID, VERY BALANCED WITH A LONG AND INTENSE AFTERTASTE WITH MARKED EXOTIC NOTES, SUCH AS PAPAYA AND PASSION FRUIT.</p>
",RECOMMENDED,"<p>COMBINATION WITH FOOD: A WONDERFUL ACCOMPANIMENT FOR FISH DISHES AND SOUPS.</p>
",HIGHLIGHTS,"<p>GRAPE VARIETY: SAEUVIGNON&nbsp;</p>

<p>PRODUCTION AREA: FRIULI VENEZI A GIULIA</p>

<p>SERVE AT: 10-12&nbsp;°C</p>

<p>ALC. 12,5% VOL</p>

<p>ML. 750</p>

<p>&nbsp;</p>
",,,,,,,,,,,,,
product_a80c65c5-2a89-701a-2695-9c441c60f645,Product,SERNA ROSSO I.G.T. Magnum,<p>&nbsp;</p>,fa1d60_af39775d963b432ca4c0bffd11de8862~mv2.png,Léttvínspakki frá Borgo Molínu;Borgo Molino Rauðvín;All collections;Borgo Molino;Rauðvín,,Magnum,8990.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>WINE WITH INTENSE VIOLET COLOR WITH LIGHT GRANATE SHADES. THE FRUITY FRAGRANCE IS INTENSE AND COMPLEX, WITH LIGHT NOTES OF MEDITERRANEAN SPICES. WINE OF GREAT SOFTNESS AND STRUCTURE. WITH VERY FRUITY TASTE. THE ÉLEVAGE IN SMALL WOODEN BARRELS EXALTS AROMATIC COMPLEXITY BY DONATING NOTES OF LIQUORICE AND CINNAMON.</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: THE HARMONY OF THE BODY IS EXALTED BY BRACES MEATS, BAKED AND CHEESES SEASONED. WE RECOMMEND THAT THE BOTTLE BE OPENED AL LEAST AN HOUR BEFORE SERVING.</p>
",HIGHLIGHTS,"<p>GRAPE VARIETY: REFOSCO, MERLOT AND CABERNET SAUVIGNON</p>

<p>PRODUCTION AREA: TREVENEZIE</p>

<p>SERVE AT: 18-20 °C&nbsp;</p>

<p>ALC. 15% VOL</p>

<p>ML. 750</p>

<p>COD. 78</p>
",,,,,,,,,,,,,
product_49221c2b-7513-6fc7-cd6d-b4a2d8c76457,Product,PROSECCO D.O.C. TREVISO EXTRA DRY Magnum,<p>&nbsp;</p>,fa1d60_bde9d395265f44b099134bdcd64326ab~mv2.png,All collections;Borgo Molino Prosecco;Borgo Molino;Procecco,,Nýjar umbúðir,6400.0,,false,PERCENT,0.0,OutOfStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>DESCRIPTION: SPARKLING MADE FROM THE EXCLUSIVE SELECTION OF GLERA GRAPES. PALE STRAW-YELLOW COLOR, FINE PERLAGE, RICH AND FRAGRANT BOUQUET, DRY TO THE TASTE WITH A PLEASANTLY-BITTER UNDERTONE.</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: EXCELLENT APERITIF; FRESH AND FRUITY IT IS IDEAL THROUGHOUT THE MEAL.</p>
",HIGHLIGHTS,"<p>GRAPE VARIETY: GLERA</p>

<p>PRODUCTION AREA: PROSECCO TREVISO</p>

<p>SERVE AT: 6-8 °C</p>

<p>ALC. 11% VOL</p>

<p>SUGAR CONTENT:&nbsp;15 gr/l</p>

<p>ML. 750</p>

<p>COD. 08&nbsp;</p>
",,,,,,,,,,,,,
product_ba421784-fc99-a2f5-52eb-64b980871a51,Product,MOTIVO ROSÉ EXTRA DRY Magnum,<p>&nbsp;</p>,fa1d60_e048074582664417acdc563a0114929f~mv2.png,Borgo Molino;All collections;Borgo Molino Prosecco;Procecco,,Vinsælt,6900.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>AN EXQUISITELY ELEGANT SPARKLING WINE, WITH A BRILLIANT PALE PINK COLOUR AND A FINE, PERSISTENT PERLAGE. DELICATE FRUITY FRAGRANCE, WITH A BOUQUET OF STRAWBERRY, RASPBERRY AND ROSE. SAVOURY, FRESH FLAVOUR, WITH A DELICATE AROMATIC TOUCH.</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: A HIGHLY AGREEABLE WINE TO ENJOY AS AN APERITIF OR BETWEEN MEALS.</p>
",HIGHLIGHTS,"<p>GRAPE VARIETY: GLERA, PINOT NERO AND RABOSO</p>

<p>PRODUCTION AREA: TREVENEZIE</p>

<p>SERVE AT: 6-8 °C</p>

<p>ALC. 11% VOL</p>

<p>SUGAR CONTENT:&nbsp;15 gr/l</p>

<p>ML. 750</p>

<p>COD. 06</p>
",,,,,,,,,,,,,
product_f6381576-78e6-e579-d89b-f1ab513f64a8,Product,VALDOBBIADENE PROSECCO SUPERIORE D.O.C.G. EXTRA DRY,<p>&nbsp;</p>,fa1d60_4f96cd428c9c49aeaf7fcd142d1afb44~mv2.png,Borgo Molino;All collections;Borgo Molino Prosecco;Procecco,,375 ML,1790.0,,true,PERCENT,0.0,OutOfStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>DESCRIPTION: EXTRA DRY SPARKLING MADE FROM THE BEST GLERA GRAPES PRODUCED IN THE VALDOBBIADENE HILLS. PALE STRAW-YELLOW COLOR, FINE, PERSISTENT PERLAGE, FRUITY, ELEGANT AND CHARACTERISTIC BOUQUET AND TASTE</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: : EXCELLENT AS AN APERITIF OR AT THE END OF A MEAL; WHEN ENJOYED ON ITS FULL PRESTIGE AND UNMISTAKABLE PERSONALITY</p>
",HIGHLIGHTS,"<p>PRODUCTION AREA: VALDOBBIADENE</p>

<p>GRAPE VARIETY: GLERA</p>

<p>SERVE AT: 6-8 °C.</p>

<p>ALC. 11,5% VOL</p>

<p>ML. 375</p>
",,,,,,,,,,,,,
product_6ea7c3b6-e2ec-5e5e-8f56-3ec76ef28dc5,Product,VALDOBBIADENE PROSECCO SUPERIORE D.O.C.G. EXTRA DRY,<p>&nbsp;</p>,fa1d60_fdd6f292c5eb4e24a408228978e13dba~mv2.png,Borgo Molino;All collections;Borgo Molino Prosecco;Procecco,,,3190.0,,true,PERCENT,0.0,OutOfStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>DESCRIPTION: EXTRA DRY SPARKLING MADE FROM THE BEST GLERA GRAPES PRODUCED IN THE VALDOBBIADENE HILLS. PALE STRAW-YELLOW COLOR, FINE, PERSISTENT PERLAGE, FRUITY, ELEGANT AND CHARACTERISTIC BOUQUET AND TASTE</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: : EXCELLENT AS AN APERITIF OR AT THE END OF A MEAL; WHEN ENJOYED ON ITS FULL PRESTIGE AND UNMISTAKABLE PERSONALITY</p>
",HIGHLIGHTS,"<p>PRODUCTION AREA: VALDOBBIADENE</p>

<p>GRAPE VARIETY: GLERA</p>

<p>SERVE AT: 6-8 °C.</p>

<p>ALC. 11,5% VOL</p>

<p>ML. 750</p>
",,,,,,,,,,,,,
product_517ee212-76cc-f521-2bb2-43009bc0517a,Product,MOTIVO ROSSO DRY,<p>&nbsp;</p>,fa1d60_6c6d971d1b9a4e558c9ecbe7eada47d9~mv2.png,All collections;Borgo Molino;Lagersala;Procecco;Borgo Molino Prosecco,,NÝTT,2699.0,,true,PERCENT,20.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>SPARKLING WINE WITH A PURPLE-RED COLOUR, FULL AND ENVELOPING BERRIES FRAGRANCE AND FINAL VIOLET HINTS. INTENSE, SUPPLE AND COMPLETE TASTE, WELL-BALANCED THANKS TO A PLEASANT FRESHNESS AND A NEVER AGGRESSIVE TANNIN.</p>
",RECOMMENDED,"<p>RECOMMENDED COMBINATION WITH FOOD: EXCELLENT ON ITS OWN AND AS AN APERITIF, AN EXCELLENT ACCOMPANIMENT FOR COLD CUTS AND BOILED MEAT, IDEAL WITH FRUIT.</p>
",HIGHLIGHTS,"<p>GRAPE VARIETY: REFOSCO, RABOSO&nbsp;AND ANCELLOTTA</p>

<p>PRODUCTION AREA: VENETO</p>

<p>SERVE AT: 10-12&nbsp;°C</p>

<p>ALC. 11,5% VOL</p>

<p>SUGAR CONTENT: 30&nbsp;gr/l</p>

<p>ML. 750</p>

<p>COD. 21</p>
",,,,,,,,,,,,,
product_88298b4c-bc1d-b7a4-a46e-a541adc75a86,Product,Ramoro pinot grigio Rosé Terre di chieti I.G.P.,<p>&nbsp;</p>,fa1d60_4a94e48a70c04674a281aa352dbcab4c~mv2.png,Lunaria Orsogna;All collections;Lífrænt  Ræktað;Hvítvín,,Organic & Biodynamic,3190.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>Copper color, the nose is intense, floral with yellow fruits, hints of ethereal; on the palate is fresh, intense and fruity.</p>
",RECOMMENDED,"<p>Seafood, cod, pasta with clear sauces, white meat.</p>
",HIGLIGHTS,"<p>Organic and Biodynamic</p>

<p>GRAPE VARIETY: Pinot Grigio minimum 85%</p>

<p>PRODUCTION AREA: Terre di Chieti IGP</p>

<p>SERVE AT: 10-12°C</p>

<p>ALC. 13,5% VOL</p>

<p>ML. 750</p>
",,,,,,,,,,,,,
product_918ed6d8-892d-433a-8b66-9e780619b35f,Product,Civitas pecorino Terre di chieti I.G.P.,<p>&nbsp;</p>,fa1d60_4cff25c5c0c44afbb5daf9c174b0721b~mv2.png,Lunaria Orsogna;All collections;Lífrænt  Ræktað;Hvítvín;Lagersala,,Organic & Biodynamic,3190.0,,true,PERCENT,30.0,InStock,,,,,,,,,,,,,,,,,,,,,DESCRIPTION,"<p>Straw yellow color, intense nose with hints of broom, white fruits and ethereal. The palate is fresh, intense, fruity and full-bodied.</p>
",RECOMMENDED,"<p>Elaborated seafood dishes, medium cured cheese, pasta dishes, white meats.</p>
",HIGLIGHTS,"<p>Organic and Biodynamic</p>

<p>GRAPE VARIETY: Pecorino 85%</p>

<p>PRODUCTION AREA: Terre di Chieti IGP</p>

<p>SERVE AT: 10-12°C</p>

<p>ALC. 13% VOL</p>

<p>ML. 750</p>
",,,,,,,,,,,,,
